Policy1,Policy2,No_Kids,Age_kids,Age,Maratial_status,Gender,Income,Education,Smoking.and.alcohol,Weight,Height,Term,sumAssured
1,3,0,0,7,0,0,0,0,0,47,180,21,1277314
1,3,0,0,10,0,1,0,0,1,79,187,25,1449442
1,3,0,0,9,0,1,0,0,1,85,167,19,1150017
1,3,0,0,10,0,0,0,0,0,74,176,33,2478556
1,3,0,0,11,0,1,0,0,0,109,179,17,1538532
1,3,0,0,6,0,0,0,0,0,95,161,34,2383247
1,3,0,0,10,0,1,0,0,0,71,152,32,309225
1,3,0,0,9,0,0,0,0,0,85,157,16,552808
1,3,0,0,12,0,1,0,0,1,70,150,19,1255792
1,3,0,0,9,0,1,0,0,1,48,160,20,268626
1,3,0,0,5,0,0,0,0,1,58,186,27,2395518
1,3,0,0,10,0,1,0,0,0,60,163,28,2327945
1,3,0,0,6,0,0,0,0,1,105,183,25,955963
1,3,0,0,6,0,0,0,0,0,81,168,20,772422
1,3,0,0,5,0,0,0,0,0,52,184,22,1218263
1,3,0,0,10,0,1,0,0,0,46,156,33,1741213
1,3,0,0,8,0,1,0,0,1,71,184,23,1621988
1,3,0,0,5,0,0,0,0,1,71,174,20,1868687
1,3,0,0,9,0,0,0,0,1,83,160,21,1192340
1,3,0,0,11,0,1,0,0,1,52,173,21,1967576
1,3,0,0,9,0,0,0,0,1,86,172,27,259267
1,3,0,0,11,0,1,0,0,0,85,158,22,516177
1,3,0,0,12,0,0,0,0,0,109,165,15,1501971
1,3,0,0,9,0,1,0,0,1,56,164,27,962835
1,3,0,0,5,0,0,0,0,0,59,168,19,2202538
1,3,0,0,10,0,0,0,0,1,81,189,30,2052234
1,3,0,0,7,0,0,0,0,1,83,171,34,177442
1,3,0,0,6,0,1,0,0,1,83,180,28,1252135
1,3,0,0,8,0,1,0,0,1,63,187,29,1089829
1,3,0,0,7,0,0,0,0,1,84,152,22,1353665
1,3,0,0,12,0,1,0,0,1,76,155,31,1439937
1,3,0,0,11,0,0,0,0,0,104,153,32,2210955
1,3,0,0,7,0,1,0,0,1,93,164,21,753424
1,3,0,0,11,0,0,0,0,0,100,181,32,1024807
1,3,0,0,7,0,0,0,0,1,92,158,27,1735843
1,3,0,0,11,0,1,0,0,0,95,188,24,1815592
1,3,0,0,8,0,1,0,0,0,57,154,23,1552850
1,3,0,0,11,0,1,0,0,1,99,151,20,164094
1,3,0,0,12,0,0,0,0,1,75,166,20,2294573
1,3,0,0,8,0,1,0,0,1,71,178,31,1318638
1,3,0,0,9,0,0,0,0,0,70,184,26,638847
1,3,0,0,9,0,1,0,0,0,45,167,25,980835
1,3,0,0,8,0,0,0,0,0,64,171,28,2182792
1,3,0,0,6,0,0,0,0,1,69,160,19,1875267
1,3,0,0,8,0,1,0,0,1,71,156,26,251440
1,3,0,0,5,0,1,0,0,1,100,186,22,976016
1,3,0,0,7,0,0,0,0,1,94,170,17,1742685
1,3,0,0,9,0,0,0,0,0,88,172,23,1757619
1,3,0,0,9,0,1,0,0,0,61,175,16,2321193
1,3,0,0,11,0,1,0,0,1,102,190,15,1391832
1,3,0,0,8,0,0,0,0,1,70,183,21,2332525
1,3,0,0,9,0,1,0,0,1,68,154,26,2304805
1,3,0,0,11,0,1,0,0,0,93,157,23,898381
1,3,0,0,11,0,1,0,0,1,68,166,27,359749
1,3,0,0,6,0,1,0,0,1,67,170,18,1493980
1,3,0,0,12,0,1,0,0,0,88,153,18,364845
1,3,0,0,8,0,0,0,0,0,106,172,31,119917
1,3,0,0,12,0,1,0,0,1,75,179,17,1131859
1,3,0,0,5,0,0,0,0,1,86,157,18,2192508
1,3,0,0,8,0,1,0,0,0,71,168,32,492168
1,3,0,0,10,0,0,0,0,0,75,174,23,1000315
1,3,0,0,12,0,1,0,0,1,91,177,18,1575424
1,3,0,0,6,0,1,0,0,1,58,172,19,2492292
1,3,0,0,7,0,1,0,0,0,85,161,33,1091744
1,3,0,0,5,0,0,0,0,0,77,172,30,559996
1,3,0,0,12,0,0,0,0,1,85,160,32,2053431
1,3,0,0,5,0,1,0,0,0,98,162,18,641058
1,3,0,0,12,0,0,0,0,0,91,157,28,841222
1,3,0,0,9,0,1,0,0,1,96,152,28,1418109
1,3,0,0,9,0,0,0,0,1,104,185,17,1247206
1,3,0,0,9,0,0,0,0,0,90,164,31,342665
1,3,0,0,9,0,0,0,0,0,77,159,31,2254252
1,3,0,0,11,0,1,0,0,0,46,166,22,647773
1,3,0,0,6,0,1,0,0,1,104,152,32,855057
1,3,0,0,5,0,1,0,0,0,55,159,15,146335
1,3,0,0,7,0,0,0,0,1,103,170,27,1716867
1,3,0,0,8,0,0,0,0,1,48,180,19,1437940
1,3,0,0,9,0,0,0,0,0,107,154,29,1611155
1,3,0,0,10,0,0,0,0,0,73,180,25,2447017
1,3,0,0,7,0,1,0,0,1,109,177,16,1542198
1,3,0,0,6,0,0,0,0,0,76,186,23,1847758
1,3,0,0,9,0,0,0,0,0,81,155,22,2319995
1,3,0,0,9,0,0,0,0,0,89,185,35,1375900
1,3,0,0,8,0,1,0,0,1,78,161,25,1492994
1,3,0,0,5,0,0,0,0,0,98,160,35,154270
1,3,0,0,9,0,0,0,0,1,86,190,16,1097875
1,3,0,0,9,0,1,0,0,1,57,173,31,1393870
1,3,0,0,10,0,1,0,0,1,99,154,24,821073
1,3,0,0,10,0,0,0,0,1,86,159,32,2110170
1,3,0,0,8,0,1,0,0,0,104,165,27,2206080
1,3,0,0,6,0,1,0,0,1,91,160,35,254391
1,3,0,0,9,0,1,0,0,1,96,163,27,579357
1,3,0,0,5,0,1,0,0,1,103,166,22,1216078
